Unnamed: 0,a1,a2,a3,a4,a5,mean,annotator_id
0,-0.0053568227660815,,,,,-0.0053568227660815,a1
2,0.0244033037121492,0.0260107592479618,0.0547796963703639,0.0745738052321211,0.1066291549042108,0.0572793438933614,mean
5,,0.0953358105484998,,,,0.0953358105484998,a2
6,0.0124992531208569,0.0121457489878542,0.0794925271602333,0.1487765965078635,0.1163111620460721,0.073845057564576,mean
8,0.1196357084424878,0.0260107592479618,-0.1182101191587216,0.0215718114637336,0.0340141013402513,0.0166044522671426,mean
10,0.0244033037121492,0.0676057900282846,-0.0934972883688523,0.0639734064784436,0.0436961084821126,0.0212362640664275,mean
11,,0.053740779768177,,,,0.053740779768177,a2
15,-0.0053568227660815,0.0121457489878542,0.0794925271602333,0.0639734064784436,0.077583133478627,0.0455675986678153,mean
16,,,,-0.1162333723340736,,-0.1162333723340736,a4
17,,0.0121457489878542,,,,0.0121457489878542,a2
18,0.0005952025295646,-0.0017192612722533,0.0300668655804945,0.0745738052321211,0.1211521656170027,0.0449337555373859,mean
20,,,,0.0321722102174111,,0.0321722102174111,a4
27,,,0.0794925271602333,,,0.0794925271602333,a3
29,-0.0172608733573738,0.0121457489878542,0.0300668655804945,0.0427726089710886,0.0679011263367657,0.0271250953037658,mean
30,,,,-0.1162333723340736,,-0.1162333723340736,a4
32,,,,-0.0738317773193637,,-0.0738317773193637,a4
33,,,,-0.0102293847972987,,-0.0102293847972987,a4
34,0.0303553290077954,,,,,0.0303553290077954,a1
37,-0.0529730251312508,,,,,-0.0529730251312508,a1
38,,,0.1289181887399721,,,0.1289181887399721,a3
39,,,,,0.0436961084821126,0.0436961084821126,a5
40,0.0005952025295646,-0.0017192612722533,0.0794925271602333,0.0639734064784436,0.0582191191949045,0.0401121988181785,mean
44,,,0.0547796963703639,,,0.0547796963703639,a3
45,-0.0113088480617277,-0.0017192612722533,0.0794925271602333,0.0427726089710886,0.0969471477623495,0.0412368349119381,mean
46,,,,,0.0824241370495576,0.0824241370495576,a5
49,,,,,0.1453571834716558,0.1453571834716558,a5
50,0.0065472278252107,0.0260107592479618,0.0300668655804945,0.0745738052321211,0.0098090834855981,0.0294015482742773,mean
52,,,,,0.0485371120530432,0.0485371120530432,a5
