Unnamed: 0,speaker_id_fixed_int
0,0
2,0
5,0
6,0
8,0
10,0
11,0
15,0
16,0
17,0
18,0
20,0
27,0
29,0
30,0
32,0
33,0
34,0
37,0
38,0
39,0
40,0
44,0
45,0
46,0
49,1
50,1
52,1
53,1
54,1
56,1
57,1
58,1
60,1
62,1
65,1
66,1
67,1
70,1
72,1
74,1
77,1
78,1
80,1
81,1
82,1
85,1
86,1
88,1
89,1
90,1
91,1
93,1
94,1
96,1
98,1
99,1
100,1
101,1
104,1
105,1
106,1
107,1
108,1
112,1
114,1
115,1
117,2
119,2
121,3
123,3
127,3
129,4
130,4
133,4
134,4
135,4
136,4
138,4
139,4
146,4
149,4
151,4
154,4
155,4
156,4
157,4
159,4
162,4
163,4
167,4
173,4
176,4
177,4
183,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
195,4
199,4
200,4
201,4
202,4
203,4
208,4
209,4
210,4
211,4
213,4
214,4
215,4
216,4
218,4
219,4
222,4
224,4
225,4
226,4
230,4
231,4
235,4
237,4
238,4
241,4
244,4
246,4
247,4
248,4
250,4
252,5
254,5
258,6
261,6
264,6
267,6
268,6
269,6
270,6
272,6
277,7
279,7
280,7
286,7
290,7
291,7
292,7
296,7
297,7
298,7
301,7
303,7
305,7
306,7
307,7
309,7
312,7
316,7
317,7
319,7
320,7
322,7
327,7
332,7
339,7
340,7
341,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
354,7
356,7
361,7
362,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
375,7
377,7
379,7
381,7
382,7
383,7
384,7
385,7
386,7
388,7
391,7
395,7
397,7
398,7
400,7
403,8
405,8
416,8
420,9
424,9
426,9
427,9
429,9
433,9
435,9
436,9
438,9
440,9
441,9
442,9
444,9
448,9
450,9
452,9
453,9
454,9
455,9
456,9
457,9
458,9
459,9
460,9
468,9
469,9
473,9
481,9
483,9
484,9
485,9
486,9
487,9
489,9
490,9
491,9
492,9
501,9
502,9
504,9
506,9
507,9
508,9
509,9
511,9
513,9
514,9
515,9
516,9
519,9
520,9
522,9
523,9
524,9
526,9
527,9
528,9
530,9
532,9
533,9
535,9
536,9
538,9
540,9
542,10
543,10
546,10
547,10
553,10
554,10
559,10
561,10
565,10
566,10
567,11
569,11
572,11
573,11
574,11
576,11
577,11
579,12
580,12
582,12
583,12
584,12
585,12
588,12
589,12
590,12
591,12
593,12
594,12
595,12
596,12
597,12
601,12
602,12
604,12
605,12
606,12
607,12
609,12
612,12
614,12
622,12
625,12
626,12
628,12
631,12
633,12
636,12
637,12
639,12
640,12
643,12
644,12
645,12
646,12
647,12
649,12
650,12
651,12
653,12
654,12
655,12
656,12
657,12
663,12
664,12
666,12
667,12
670,12
671,12
672,12
673,12
676,12
679,12
681,12
684,12
686,12
689,12
693,12
694,12
695,12
696,12
698,12
701,12
702,12
704,13
706,14
711,14
713,14
715,14
716,14
719,14
722,14
727,14
731,14
733,14
734,14
735,14
736,14
738,14
739,14
740,14
742,14
745,14
747,14
751,14
752,14
756,14
758,14
762,14
763,14
764,14
771,14
774,14
775,14
776,14
777,14
778,14
780,14
781,14
782,14
785,14
786,14
788,14
789,14
790,14
793,14
796,14
799,14
803,14
805,14
806,14
811,14
816,14
818,14
819,14
820,14
821,14
823,14
824,14
826,14
828,14
830,14
832,14
834,14
836,14
837,14
842,14
844,14
848,14
853,14
855,14
857,14
861,14
864,14
865,14
868,14
870,14
873,14
875,14
877,14
880,14
884,14
885,14
886,14
890,14
892,14
893,14
894,14
895,14
898,14
900,14
902,14
905,14
907,14
908,14
915,14
916,14
920,14
921,14
922,14
924,14
927,14
